distance_m,x_m,y_m,v_kmh,a_long_ms2,a_lat_ms2,gear,rpm,radius_m,time_s,temp_pneu_c,consumo_l
0.0,-0.518788,-0.519763,36.0,-0.08270862068965518,0.022134996436684828,1,587.2817400090937,4517.732825755858,0.0,65.0,0.0
4.997503592027723,0.755319,-5.352122,35.850890010941505,-0.08202489064037263,0.03380177585290339,12,584.8492518472324,2933.967942205176,0.5018289065015971,65.00447280765198,0.0021489265445719208
9.994776562615282,2.018673,-10.187065,35.702404493905064,-0.08134684409604492,0.0470084544815154,12,582.4269509358071,2092.251836164342,1.0057216540387106,65.00920959701935,0.004297753921924571
14.991822747617476,3.270419,-15.024792,35.55454069174026,-0.08067443303916459,0.04978987518799216,12,580.0147922963708,1959.0436200534632,1.5116870220623522,65.01398919892654,0.006446483781475515
19.988647905336126,4.5097,-19.865499,35.40729580371928,-0.0800076096118719,0.04817326891378306,12,577.6127302395818,2008.0494315266953,2.019734026485027,65.01869766798032,0.008595118599294533
24.985271187435046,5.735927,-24.709321,35.26066664932252,-0.07934632460469736,0.0359107282688628,12,575.2207128804098,2671.479363185835,2.52987309998725,65.02308867660956,0.010743666610597068
29.98175905740421,6.952345,-29.555476,35.11464868301766,-0.07869052307406395,0.01440980702894027,12,572.8386660658514,6602.577216983736,3.0421196126681,65.0271219622263,0.012892156394683808
34.978185836545684,8.165064,-34.402495,34.969237173423515,-0.07804014972949753,0.009657121512117513,12,570.4665126110791,9770.563681788035,3.556489895202586,65.03108649855501,0.015040619909714642
39.97461520176341,9.380261,-39.248896,34.82442774502793,-0.07739515135513905,0.03339502809579782,12,568.1041811366935,2802.084078412118,4.072999336405161,65.03533625107025,0.017189084536758263
44.97111864132392,10.604117,-44.093194,34.68021583758,-0.07675547438035969,0.05673623356646059,12,565.751597249581,1635.6790081377137,4.59166428551215,65.04014844580318,0.01933758101576928
49.96780259548872,11.842809,-48.933906,34.53659592868001,-0.07612106146641137,0.07871329873701535,12,563.4086708607272,1169.2461379174365,5.112504911268656,65.04566906424127,0.021486155116060147
54.96482980917097,13.102518,-53.769546,34.393560941758246,-0.07549184899188438,0.09151521168604393,12,561.0752865273496,997.369298917897,5.635547523800665,65.05165020980735,0.023634876817943514
59.962420596733516,14.388401,-58.598875,34.25110224282508,-0.07486776717564035,0.08653880128586361,12,558.7513033998802,1046.0037166738923,6.160824833350432,65.05741938578758,0.025783840856595408
64.9606361449795,15.698299,-63.422393,34.10921583795999,-0.07424876719391045,0.06898522741332525,12,556.436656323969,1301.3147984238856,6.688353113659375,65.06252913732591,0.027933073542341185
69.95939017652876,17.026862,-68.241362,33.967901948066164,-0.07363481891183102,0.04878423901331968,12,554.131348903294,1824.9581515987811,7.218133096570619,65.06698240378985,0.030082537775907366
74.95852947242861,18.368723,-73.057045,33.827162650373076,-0.0730259003189308,0.02891595746281335,12,551.8354150244925,3053.4341924147184,7.750158251953876,65.0709422716192,0.0322321676731443
79.95785826660378,19.718518,-77.870707,33.68700115434558,-0.07242199424986942,0.009381187873895656,12,549.5489070447896,9333.872578615388,8.28441725519878,65.07462407234962,0.03438187905463962
84.95715250954657,21.070882,-82.683612,33.54742137854686,-0.07182308647328149,0.008890132277404003,12,547.2718888892019,9767.986777191116,8.820895426546496,65.07827280613007,0.036531575579105025
89.95617999457383,22.420449,-87.497025,33.408427374386015,-0.07122916317402717,0.021345280975215118,12,545.0044266499127,4034.6436978965785,9.35957684199965,65.08202174150225,0.03868115739766675
94.9547664372371,23.762913,-92.311966,33.270021488969796,-0.07064020314296796,0.02455164212156326,12,542.74655861617,3478.7291491489605,9.900451490955128,65.08579217585455,0.04083054956801195
99.95293701498993,25.098098,-97.128499,33.13220048850455,-0.07005616153620561,0.02236414397011176,12,540.4982320338639,3787.4183626721187,10.443530846223219,65.08949979211819,0.04297976291644567
104.95076529887653,26.426834,-101.94646,32.99495983022964,-0.06947698835631475,0.01933834000487334,12,538.259372795206,4343.811939675431,10.98883176231973,65.09313575765104,0.04512882907851691
109.94831722922814,27.749953,-106.76568,32.858295225070584,-0.06890263511775115,0.016357443859310896,12,536.0299109308875,5092.95237132675,11.536370422680255,65.09670615580237,0.0472777764085681
114.94565968238781,29.068287,-111.585994,32.72220239912289,-0.06833305382529034,0.013423912118492733,12,533.8097767190732,6154.615855320518,12.086163270115765,65.1002171354213,0.049426633663426756
119.94285318557358,30.382668,-116.407233,32.58667729180487,-0.06776819779374255,0.010537715509632051,12,531.598903917944,7775.50649424473,12.638226202165391,65.10367484728349,0.05157542686979664
124.93995980051406,31.693927,-121.229232,32.45171583855881,-0.06720802072641305,0.007697580972064515,12,529.397226220819,10556.405428613265,13.192575436063548,65.10708540927591,0.053724182714221046
129.93703732605258,33.002896,-126.051823,32.31731412763376,-0.06665247735922096,0.004903815276039311,12,527.2046798138118,16433.550948510536,13.749226865105303,65.1104548929127,0.0558729260502026
134.93414402717363,34.310406,-130.87484,32.18346827044511,-0.06610152291219713,0.002154021939329503,12,525.0212012609574,37103.13142086085,14.308196581260978,65.11378928574213,0.05802168193168466
139.93133546712758,35.617288,-135.698115,32.0501744861993,-0.06555511343090958,0.0005503061333340904,12,522.8467288847276,144029.4962537002,14.869500520232686,65.1170944783377,0.06017047425086485
144.92866958207657,36.924376,-140.521482,31.91742896501068,-0.06501320521694308,0.0032079433877902335,12,520.6812005330034,24503.273299365123,15.433155031175225,65.12037622180321,0.06231932792029291
